Participant-ID;age;gender;ef1;ef2;ef3;ef4;ef5;ef6;ef7;ef8;ef9;ef10;ef11;ef12
282;19;weiblich;4;1;3;3;2;5;4;3;1;2;3;4
283;19;weiblich;4;4;1;3;1;2;2;4;2;2;4;5
284;18;weiblich;4;3;3;4;5;5;4;5;4;3;4;5
285;19;weiblich;4;1;3;4;4;4;4;4;3;3;4;4
286;35;weiblich;3;2;3;2;5;3;3;3;3;1;1;4
287;24;keine Angabe;3;4;4;5;1;4;2;5;4;4;4;3
288;19;weiblich;2;1;4;5;2;4;3;5;3;2;5;4
289;21;weiblich;2;2;4;5;3;4;4;5;5;2;2;3
290;20;weiblich;4;2;4;2;2;2;2;3;2;1;4;3
291;23;weiblich;4;2;4;2;3;4;2;4;3;4;4;3
292;18;weiblich;4;2;4;2;2;3;3;4;3;4;4;5
293;27;weiblich;2;1;4;3;3;2;3;2;2;4;4;3
294;25;weiblich;2;2;4;4;3;4;4;4;4;5;4;4
295;38;weiblich;4;4;4;3;2;4;4;3;3;3;3;4
296;20;weiblich;4;4;2;4;4;3;4;4;4;1;5;3
297;18;weiblich;4;1;3;2;2;3;5;4;2;2;4;4
298;25;weiblich;4;2;5;5;3;2;4;5;4;5;4;2
299;18;weiblich;4;3;4;2;4;4;5;4;1;2;2;2
300;19;weiblich;3;1;1;4;3;4;4;3;1;1;1;1
301;22;weiblich;4;4;2;3;4;4;2;4;4;2;1;4
302;21;weiblich;4;2;5;3;5;4;2;2;4;1;4;5
303;19;weiblich;3;4;4;3;1;2;2;4;2;4;4;3
304;33;männlich;5;2;5;4;2;4;4;4;3;4;5;4
305;18;weiblich;2;1;5;2;4;4;2;5;5;1;4;1
306;21;weiblich;3;2;4;3;1;4;4;3;3;1;4;3
307;26;weiblich;3;1;2;3;2;3;2;3;2;2;2;3
308;26;weiblich;3;4;4;4;2;5;2;5;5;2;5;4
309;69;männlich;3;4;3;4;2;2;3;3;3;3;3;4
310;19;weiblich;4;4;2;3;2;2;2;4;3;1;2;4
311;20;weiblich;4;2;3;2;4;2;3;3;2;3;5;2
312;18;weiblich;3;4;3;3;2;2;4;2;3;4;2;3
313;30;weiblich;2;1;2;1;4;2;1;4;1;1;2;2
314;21;weiblich;4;1;2;3;4;5;4;4;4;1;1;5
315;24;weiblich;2;4;4;5;3;4;4;3;4;1;4;4
316;28;weiblich;3;2;5;4;5;4;2;4;3;4;4;2
317;22;männlich;3;2;4;3;1;3;3;3;3;3;3;4
318;21;männlich;4;3;5;4;3;3;3;4;2;5;5;2
319;38;männlich;4;4;3;3;2;3;2;4;3;3;3;2
320;21;weiblich;4;4;4;3;3;4;3;3;4;1;3;4
321;42;weiblich;5;2;4;4;2;2;4;4;4;4;2;4
322;21;weiblich;4;4;4;5;5;5;5;5;5;4;4;5
323;18;weiblich;1;2;4;2;2;1;2;3;3;4;4;2
324;34;männlich;4;4;3;4;2;4;4;4;4;2;2;4
325;26;männlich;3;2;2;3;4;2;3;2;3;2;2;2
326;23;weiblich;4;5;5;4;5;5;4;5;5;1;1;5
327;20;weiblich;4;2;2;4;4;5;3;4;4;2;5;4
328;19;weiblich;4;1;2;2;3;4;2;4;2;2;2;4
329;19;weiblich;4;1;4;2;3;4;2;4;1;3;2;4
330;20;weiblich;3;1;4;4;2;4;5;4;5;2;3;3
331;25;weiblich;4;1;2;1;4;3;4;4;2;2;1;5
332;27;weiblich;4;4;4;5;3;5;4;4;4;1;1;5
333;20;weiblich;4;1;4;3;2;4;4;4;3;1;5;4
334;19;weiblich;3;3;3;4;1;3;3;5;2;4;4;4
335;18;weiblich;2;4;4;4;3;2;3;3;2;4;2;2
336;19;weiblich;4;5;4;5;4;1;1;5;4;4;5;5
337;18;weiblich;3;1;4;3;1;2;1;5;2;3;4;2
338;19;weiblich;2;2;4;2;2;2;3;3;2;4;3;2
339;24;männlich;4;2;4;2;1;4;5;4;4;2;4;4
340;27;männlich;4;1;5;3;2;5;4;3;4;4;5;4
341;20;männlich;3;2;2;5;5;4;4;5;5;2;5;4
342;23;weiblich;4;2;4;5;4;5;2;4;4;2;4;5
343;26;weiblich;3;2;3;3;2;3;2;4;4;3;4;4
344;20;weiblich;4;1;4;4;2;2;5;4;3;1;2;4
345;19;weiblich;4;1;4;3;2;3;2;5;4;4;4;3
346;18;weiblich;3;4;3;2;3;4;2;3;2;5;4;3
347;20;männlich;5;1;4;3;4;5;4;5;4;5;5;4
348;22;weiblich;2;1;5;3;2;4;4;4;4;2;4;1
349;23;männlich;5;2;3;5;4;5;5;5;5;1;1;5
350;26;weiblich;3;1;4;3;2;1;1;5;2;2;3;4
351;20;weiblich;4;3;5;4;3;5;4;4;4;4;3;3
352;19;weiblich;4;2;2;4;1;2;2;3;2;1;1;3
353;21;weiblich;4;1;2;4;2;4;3;5;4;2;4;3
354;21;weiblich;2;1;2;1;3;1;4;3;2;4;4;4
355;21;weiblich;4;3;4;4;4;4;3;4;5;2;4;4
356;25;männlich;2;2;4;1;5;4;5;4;4;3;4;4
357;27;weiblich;4;3;4;4;1;2;3;4;3;2;4;4
358;19;weiblich;2;3;1;4;2;3;3;5;4;2;4;4
359;21;weiblich;5;4;4;4;4;5;4;5;5;4;5;4
360;19;weiblich;4;1;3;5;3;5;2;5;4;3;4;4
361;27;weiblich;4;2;4;5;2;4;4;4;4;4;5;4
362;20;männlich;4;4;3;4;4;4;4;4;4;4;4;3
363;23;weiblich;3;2;4;1;4;2;4;2;2;1;3;4
364;22;weiblich;5;3;4;2;1;1;2;2;1;5;5;2
365;41;weiblich;4;1;1;4;3;4;4;4;3;1;1;3
366;19;männlich;5;2;4;2;5;4;3;5;2;1;3;3
367;20;weiblich;4;3;2;4;2;4;4;3;3;1;1;2
368;24;weiblich;4;2;2;2;2;2;2;2;2;2;2;4
369;33;weiblich;3;1;2;3;4;2;3;3;2;2;3;3
